,feature,imp_mean,imp_std
0,f_08,113.07454544650079,1.347707346024004
1,f_16,107.14596865522728,1.5512575247276563
2,f_02,94.66678377942719,1.168706475949774
3,f_19,81.76396529585864,0.8854241209529617
4,f_23,42.718321320985275,0.940921318412713
5,f_09,28.11080935555817,0.1757059873765244
6,f_01,25.494876319435267,0.472750256500413
7,f_11,2.6641766165068597,0.09620220982796433
8,f_12,0.036228802979596963,0.017448586058662452
9,f_05,0.021406401914811822,0.02685908952216248
10,f_17,0.01126309801349663,0.00812932720086543
11,f_06,0.01075174889088828,0.029896741588742008
12,f_22,0.002780187492187025,0.018289401818397395
13,f_20,0.0015249098300245123,0.020566317086301304
14,f_10,-0.002111183869686073,0.013691308616552359
15,f_18,-0.007305851558527365,0.016156231120012677
16,f_24,-0.008011064154273129,0.023309494987298965
17,f_03,-0.011578981530341537,0.013578390922402912
18,f_21,-0.013578133426143068,0.02379794176012528
19,f_14,-0.014473804074279428,0.027240465079727893
20,f_13,-0.020872799436070722,0.02187724855268455
21,f_15,-0.022437682744721597,0.007817021193227228
22,f_07,-0.02848544275459517,0.023827027551741733
23,f_04,-0.03610995042721683,0.02629021993710098
24,f_00,-0.041663161810255644,0.01417315656331156
