,feature,imp_mean,imp_std
0,f_11,0.05235000000000003,0.0020816112674440406
1,f_21,0.027439999999999975,0.0006826981454584812
2,f_08,0.02712625000000002,0.0018135631041716169
3,f_03,0.0220328125,0.002085400797059168
4,f_01,0.010362499999999941,0.0011504003209480873
5,f_06,0.008503124999999967,0.000869481481617051
6,f_02,0.006576249999999994,0.0008501932225235595
7,f_12,0.003753124999999935,0.0004247437186851676
8,f_20,0.0025543749999999755,0.0002214904237489552
9,f_09,0.0024299999999999764,0.00025023309445894754
10,f_00,0.0011378125000000238,0.000378414661779902
11,f_22,0.0007384374999999776,0.0001588121187520384
12,f_23,0.0005012499999999642,0.00012108477789339188
13,f_10,0.00047562499999997954,5.6919625350127464e-05
14,f_18,0.0003637499999999516,0.0002116259598324646
15,f_24,0.00019593749999997635,0.0002916005133311746
16,f_19,0.00010593749999994184,6.293132417565572e-05
17,f_04,0.00010156249999995203,5.0756003339534534e-05
18,f_13,9.624999999997552e-05,4.171143428364126e-05
19,f_05,9.281249999995022e-05,9.119754485457399e-05
20,f_14,8.374999999998245e-05,0.00010935535537873057
21,f_15,3.937499999997485e-05,5.375908353476589e-05
22,f_17,1.749999999993701e-05,2.9636469298826595e-05
23,f_07,1.343749999995758e-05,7.89370298877438e-05
24,f_16,-0.0001831250000000173,0.00011508912986247007
